SZ000001,-3.73百亿
SZ000002,-3.57百亿
SZ000004,0.14亿
SZ000005,2.54亿
SZ000006,-43.13亿
SZ000007,-0.61亿
SZ000008,2.99亿
SZ000009,-36.06亿
SZ000010,0.56亿
SZ000011,-26.61亿
SZ000014,-0.65亿
SZ000017,--
SZ000018,--
SZ000019,6.86亿
SZ000020,0.44亿
SZ000021,-26.38亿
SZ000023,1.52亿
SZ000025,-0.4亿
SZ000026,3.46亿
SZ000027,-65.51亿
SZ000028,13.6亿
SZ000029,-19.72亿
SZ000030,6.28亿
SZ000031,-1.02百亿
SZ000032,1.94亿
SZ000034,-20.05亿
SZ000035,-14.09亿
SZ000036,-6.92亿
SZ000037,-0.64亿
SZ000038,-4.47亿
SZ000039,1.66百亿
SZ000040,-0.86亿
SZ000042,-9.62亿
SZ000045,-3.7亿
SZ000046,70.09亿
SZ000048,14.72亿
SZ000049,-4.86亿
SZ000050,1.42亿
SZ000055,-0.24亿
SZ000056,4.37亿
SZ000059,9.8亿
SZ000060,-32.08亿
SZ000061,9.83亿
SZ000063,95.29亿
SZ000065,4.69亿
SZ000066,-14.88亿
SZ000068,0.56亿
SZ000069,55.42亿
SZ000070,-8.52亿
SZ000078,5.16亿
SZ000089,-5.55亿
SZ000090,-38.0亿
SZ000096,0.11亿
SZ000099,2.58亿
SZ000100,-55.14亿
SZ000150,0.79亿
SZ000151,1.13亿
SZ000155,3.07亿
SZ000156,1.4亿
SZ000157,-24.12亿
SZ000158,-3.29亿
SZ000166,-2.72百亿
SZ000301,-3.77百亿
SZ000333,2.83百亿
SZ000338,59.76亿
SZ000400,8.37亿
SZ000401,26.46亿
SZ000402,-32.07亿
SZ000403,1.18亿
SZ000407,-0.24亿
SZ000408,25.62亿
SZ000409,-4.89百万
SZ000410,-2.93亿
SZ000411,1.24亿
SZ000413,8.09亿
SZ000416,--
SZ000417,7.96亿
SZ000419,4.05亿
SZ000420,0.92亿
SZ000422,36.61亿
SZ000423,21.17亿
SZ000425,28.99亿
SZ000426,4.3亿
SZ000428,-0.56亿
SZ000429,31.23亿
SZ000430,-1.61亿
SZ000488,48.39亿
SZ000498,-43.94亿
SZ000501,-27.55亿
SZ000503,-1.45亿
SZ000504,0.69亿
SZ000505,1.06亿
SZ000506,-0.31亿
SZ000507,4.45亿
SZ000509,-0.52亿
SZ000510,2.03亿
SZ000513,8.33亿
